['0.00', '0.000000', '0.000000', '-63.20', '7.42', '-11.36', '25.48', '40.14', '993.91', '660']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '661']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '661']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '661']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '662']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '662']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '662']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '663']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '663']
['0.00', '0.000000', '0.000000', '-63.92', '9.78', '-10.55', '25.50', '40.07', '993.92', '663']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '664']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '664']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '664']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '664']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '665']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '665']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '665']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '666']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '666']
['0.00', '0.000000', '0.000000', '-63.75', '9.70', '-2.66', '25.51', '40.13', '993.98', '666']
['0.00', '0.000000', '0.000000', '-64.19', '8.34', '1.63', '25.44', '40.11', '993.84', '667']
['0.00', '0.000000', '0.000000', '-64.19', '8.34', '1.63', '25.44', '40.11', '993.84', '667']
['0.00', '0.000000', '0.000000', '-64.19', '8.34', '1.63', '25.44', '40.11', '993.84', '667']
['0.00', '0.000000', '0.000000', '-64.19', '8.34', '1.63', '25.44', '40.11', '993.84', '668']
['0.00', '0.000000', '0.000000', '-64.19', '8.34', '1.63', '25.44', '40.11', '993.84', '668']
['0.00', '0.000000', '0.000000', '-64.19', '8.34', '1.63', '25.44', '40.11', '993.84', '668']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '669']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '669']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '669']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '670']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '670']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '670']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '671']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '671']
['0.00', '0.000000', '0.000000', '-64.65', '9.13', '1.98', '25.24', '40.05', '993.55', '671']
['0.00', '0.000000', '0.000000', '-64.60', '9.06', '2.03', '25.48', '39.99', '993.88', '672']
['0.00', '0.000000', '0.000000', '-64.60', '9.06', '2.03', '25.48', '39.99', '993.88', '672']
['0.00', '0.000000', '0.000000', '-64.60', '9.06', '2.03', '25.48', '39.99', '993.88', '672']
['0.00', '0.000000', '0.000000', '-64.60', '9.06', '2.03', '25.48', '39.99', '993.88', '673']
['0.00', '0.000000', '0.000000', '-64.60', '9.06', '2.03', '25.48', '39.99', '993.88', '673']
['0.00', '0.000000', '0.000000', '-64.60', '9.06', '2.03', '25.48', '39.99', '993.88', '673']
['0.00', '0.000000', '0.000000', '-64.60', '9.06', '2.03', '25.48', '39.99', '993.88', '673']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '674']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '674']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '674']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '675']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '675']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '675']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '676']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '676']
['0.00', '0.000000', '0.000000', '-64.72', '9.08', '11.11', '25.51', '39.83', '993.94', '676']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '677']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '677']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '677']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '678']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '678']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '678']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '679']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '679']
['0.00', '0.000000', '0.000000', '-66.43', '11.62', '21.07', '25.48', '39.82', '993.88', '679']
['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '680']
['0.00', '0.000000', '0.000000', '-68.13', '11.91', '16.75', '25.27', '39.73', '993.59', '680']
