['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2722']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2722']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2722']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2722']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2722']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2722']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2722']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2723']
