['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678027', '25.263490', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
