['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4978']
['0.00', '0.000000', '0.000000', '-127.40', '16.21', '-11.71', '29.17', '39.58', '993.87', '4979']
['0.00', '0.000000', '0.000000', '-127.40', '16.21', '-11.71', '29.17', '39.58', '993.87', '4979']
['0.00', '0.000000', '0.000000', '-127.40', '16.21', '-11.71', '29.17', '39.58', '993.87', '4979']
['0.00', '0.000000', '0.000000', '-127.40', '16.21', '-11.71', '29.17', '39.58', '993.87', '4980']
['0.00', '0.000000', '0.000000', '-127.40', '16.21', '-11.71', '29.17', '39.58', '993.87', '4980']
['0.00', '0.000000', '0.000000', '-127.40', '16.21', '-11.71', '29.17', '39.58', '993.87', '4980']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4981']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4981']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4981']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4982']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4982']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4982']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4983']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4983']
['0.00', '0.000000', '0.000000', '-159.75', '-2.59', '-13.38', '28.80', '39.72', '993.32', '4983']
['0.00', '0.000000', '0.000000', '-175.83', '-26.44', '-16.10', '29.19', '39.70', '993.89', '4984']
['0.00', '0.000000', '0.000000', '-175.83', '-26.44', '-16.10', '29.19', '39.70', '993.89', '4984']
['0.00', '0.000000', '0.000000', '-175.83', '-26.44', '-16.10', '29.19', '39.70', '993.89', '4984']
['0.00', '0.000000', '0.000000', '-175.83', '-26.44', '-16.10', '29.19', '39.70', '993.89', '4985']
['0.00', '0.000000', '0.000000', '-175.83', '-26.44', '-16.10', '29.19', '39.70', '993.89', '4985']
['0.00', '0.000000', '0.000000', '-175.83', '-26.44', '-16.10', '29.19', '39.70', '993.89', '4985']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4986']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4986']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4986']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4987']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4987']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4987']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4988']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4988']
['0.00', '0.000000', '0.000000', '178.79', '-44.00', '-25.04', '29.14', '39.95', '993.83', '4988']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4989']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4989']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4989']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4990']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4990']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4990']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4991']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4991']
['0.00', '0.000000', '0.000000', '-173.45', '-54.05', '-33.31', '29.19', '39.79', '993.90', '4991']
['0.00', '0.000000', '0.000000', '-166.54', '-57.62', '-36.15', '28.73', '39.67', '993.22', '4992']
['0.00', '0.000000', '0.000000', '-166.54', '-57.62', '-36.15', '28.73', '39.67', '993.22', '4992']
['0.00', '0.000000', '0.000000', '-166.54', '-57.62', '-36.15', '28.73', '39.67', '993.22', '4992']
['0.00', '0.000000', '0.000000', '-166.54', '-57.62', '-36.15', '28.73', '39.67', '993.22', '4993']
['0.00', '0.000000', '0.000000', '-166.54', '-57.62', '-36.15', '28.73', '39.67', '993.22', '4993']
['0.00', '0.000000', '0.000000', '-166.54', '-57.62', '-36.15', '28.73', '39.67', '993.22', '4993']
['0.00', '0.000000', '0.000000', '-163.57', '-58.66', '-37.13', '28.79', '39.52', '993.30', '4994']
['0.00', '0.000000', '0.000000', '-163.57', '-58.66', '-37.13', '28.79', '39.52', '993.30', '4994']
['0.00', '0.000000', '0.000000', '-163.57', '-58.66', '-37.13', '28.79', '39.52', '993.30', '4994']
['0.00', '0.000000', '0.000000', '-163.57', '-58.66', '-37.13', '28.79', '39.52', '993.30', '4995']
['0.00', '0.000000', '0.000000', '-163.57', '-58.66', '-37.13', '28.79', '39.52', '993.30', '4995']
